iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SMR,Europe,San Marino,2020-02-27,1.0,1.0,,,,,29.465,29.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-02-28,1.0,0.0,,,,,29.465,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-02-29,1.0,0.0,,,,,29.465,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,17.12
SMR,Europe,San Marino,2020-03-01,1.0,0.0,,,,,29.465,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-03-02,8.0,7.0,,,,,235.724,206.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-03-03,10.0,2.0,1.429,1.0,1.0,0.143,294.655,58.931,42.094,29.465,29.465,4.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-03-04,16.0,6.0,2.286,1.0,0.0,0.143,471.448,176.793,67.35,29.465,0.0,4.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-03-05,21.0,5.0,2.857,1.0,0.0,0.143,618.775,147.327,84.187,29.465,0.0,4.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-03-06,21.0,0.0,2.857,1.0,0.0,0.143,618.775,0.0,84.187,29.465,0.0,4.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
SMR,Europe,San Marino,2020-03-07,23.0,2.0,3.143,1.0,0.0,0.143,677.706,58.931,92.606,29.465,0.0,4.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
