iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
BEL,Europe,Belgium,2020-02-04,1.0,1.0,,,,,0.086,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-05,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-06,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-07,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-08,1.0,0.0,,,,,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-09,1.0,0.0,0.143,,,0.0,0.086,0.0,0.012,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,-12.84
BEL,Europe,Belgium,2020-02-10,1.0,0.0,0.143,,,0.0,0.086,0.0,0.012,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-11,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-12,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-13,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-14,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-15,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-16,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,-8.58
BEL,Europe,Belgium,2020-02-17,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-18,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-19,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-20,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-21,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-22,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-23,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,-7.51
BEL,Europe,Belgium,2020-02-24,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-25,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-26,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-27,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-28,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-02-29,1.0,0.0,0.0,,,0.0,0.086,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-01,2.0,1.0,0.143,,,0.0,0.173,0.086,0.012,,,0.0,,,,,,,,,,82.0,82.0,0.007,0.007,,,,,tests performed,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,-11.62
BEL,Europe,Belgium,2020-03-02,8.0,6.0,1.0,,,0.0,0.69,0.518,0.086,,,0.0,,,,,,,,,,317.0,399.0,0.034,0.027,,,,,tests performed,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-03,13.0,5.0,1.714,,,0.0,1.122,0.431,0.148,,,0.0,,,,,,,,,,538.0,937.0,0.081,0.046,,,,,tests performed,,,,,,,,,,11.11,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-04,23.0,10.0,3.143,,,0.0,1.985,0.863,0.271,,,0.0,,,,,,,,,,701.0,1638.0,0.141,0.06,,,,,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-05,50.0,27.0,7.0,,,0.0,4.314,2.33,0.604,,,0.0,,,,,,,,,,773.0,2411.0,0.208,0.067,,,,,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-06,109.0,59.0,15.429,,,0.0,9.405,5.091,1.331,,,0.0,,,,,,,,,,1119.0,3530.0,0.305,0.097,,,,,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-07,169.0,60.0,24.0,,,0.0,14.582,5.177,2.071,,,0.0,2.64,,,,,,,,,475.0,4005.0,0.346,0.041,,,0.062,16.1,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-08,200.0,31.0,28.286,,,0.0,17.257,2.675,2.441,,,0.0,2.61,,,,,,,,,483.0,4488.0,0.387,0.042,629.0,0.054,0.068,14.7,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,-9.82
BEL,Europe,Belgium,2020-03-09,239.0,39.0,33.0,,,0.0,20.622,3.365,2.847,,,0.0,2.6,,,,,,,,,610.0,5098.0,0.44,0.053,671.0,0.058,0.069,14.5,tests performed,,,,,,,,,,13.89,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-10,267.0,28.0,36.286,,,0.0,23.038,2.416,3.131,,,0.0,2.6,,,,,,,,,804.0,5902.0,0.509,0.069,709.0,0.061,0.073,13.7,tests performed,,,,,,,,,,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-11,314.0,47.0,41.571,3.0,3.0,0.429,27.093,4.055,3.587,0.259,0.259,0.037,2.63,,,,,,,,,1108.0,7010.0,0.605,0.096,767.0,0.066,0.079,12.7,tests performed,,,,,,,,,,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-12,314.0,0.0,37.714,3.0,0.0,0.429,27.093,0.0,3.254,0.259,0.0,0.037,2.69,,,,,,,,,1438.0,8448.0,0.729,0.124,862.0,0.074,0.084,11.9,tests performed,,,,,,,,,,19.44,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-13,559.0,245.0,64.286,3.0,0.0,0.429,48.233,21.14,5.547,0.259,0.0,0.037,2.79,,,,,,,,,2524.0,10972.0,0.947,0.218,1063.0,0.092,0.09,11.1,tests performed,,,,,,,,,,23.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-14,689.0,130.0,74.286,4.0,1.0,0.571,59.45,11.217,6.41,0.345,0.086,0.049,2.74,,,,,,,,,2171.0,13143.0,1.134,0.187,1305.0,0.113,0.089,11.2,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-15,886.0,197.0,98.0,4.0,0.0,0.571,76.448,16.998,8.456,0.345,0.0,0.049,2.7,53.0,4.573,263.0,22.693,,,70.408,6.075,1269.0,14412.0,1.244,0.109,1418.0,0.122,0.095,10.5,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,-4.72
BEL,Europe,Belgium,2020-03-16,1058.0,172.0,117.0,5.0,1.0,0.714,91.289,14.841,10.095,0.431,0.086,0.062,2.65,79.0,6.816,370.0,31.925,,,,,1892.0,16304.0,1.407,0.163,1601.0,0.138,0.104,9.6,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-17,1243.0,185.0,139.429,10.0,5.0,1.429,107.251,15.963,12.03,0.863,0.431,0.123,2.58,100.0,8.628,493.0,42.538,,,,,2255.0,18559.0,1.601,0.195,1808.0,0.156,0.122,8.2,tests performed,,,,,,,,,,50.93,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-18,1486.0,243.0,167.429,14.0,4.0,1.571,128.218,20.967,14.446,1.208,0.345,0.136,2.51,130.0,11.217,646.0,55.74,,,,,2714.0,21273.0,1.836,0.234,2038.0,0.176,0.136,7.4,tests performed,,,,,,,,,,73.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-19,1795.0,309.0,211.571,21.0,7.0,2.571,154.88,26.662,18.255,1.812,0.604,0.222,2.43,164.0,14.151,840.0,72.479,,,,,3395.0,24668.0,2.128,0.293,2317.0,0.2,0.155,6.5,tests performed,,,,,,,,,,73.15,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-20,2257.0,462.0,242.571,37.0,16.0,4.857,194.743,39.863,20.93,3.193,1.381,0.419,2.34,229.0,19.759,1108.0,95.603,,,,,3120.0,27788.0,2.398,0.269,2402.0,0.207,0.183,5.5,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-21,2815.0,558.0,303.714,67.0,30.0,9.0,242.89,48.147,26.206,5.781,2.589,0.777,2.3,290.0,25.022,1384.0,119.417,,,,,2276.0,30064.0,2.594,0.196,2417.0,0.209,0.21,4.8,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-22,3401.0,586.0,359.286,75.0,8.0,10.143,293.452,50.563,31.001,6.471,0.69,0.875,2.27,326.0,28.129,1661.0,143.318,,,1507.739,130.094,1414.0,31478.0,2.716,0.122,2438.0,0.21,0.222,4.5,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,9.98
BEL,Europe,Belgium,2020-03-23,3743.0,342.0,383.571,88.0,13.0,11.857,322.962,29.509,33.096,7.593,1.122,1.023,2.23,385.0,33.219,1883.0,162.473,,,,,3322.0,34800.0,3.003,0.287,2642.0,0.228,0.251,4.0,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-24,4269.0,526.0,432.286,122.0,34.0,16.0,368.347,45.385,37.299,10.527,2.934,1.381,2.2,487.0,42.02,2204.0,190.17,,,,,3975.0,38775.0,3.346,0.343,2888.0,0.249,0.274,3.6,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-25,4937.0,668.0,493.0,178.0,56.0,23.429,425.985,57.638,42.538,15.359,4.832,2.022,2.17,612.0,52.806,2721.0,234.779,,,,,4282.0,43057.0,3.715,0.369,3112.0,0.269,0.294,3.4,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-26,6235.0,1298.0,634.286,220.0,42.0,28.429,537.982,111.997,54.729,18.983,3.624,2.453,2.12,699.0,60.313,3111.0,268.43,,,,,4363.0,47420.0,4.092,0.376,3250.0,0.28,0.312,3.2,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-27,7284.0,1049.0,718.143,289.0,69.0,36.0,628.494,90.512,61.964,24.936,5.954,3.106,2.03,789.0,68.078,3649.0,314.851,,,,,4930.0,52350.0,4.517,0.425,3509.0,0.303,0.319,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-28,9134.0,1850.0,902.714,353.0,64.0,40.857,788.119,159.626,77.89,30.458,5.522,3.525,1.97,867.0,74.808,4088.0,352.73,,,,,3850.0,56200.0,4.849,0.332,3734.0,0.322,0.324,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-29,10836.0,1702.0,1062.143,431.0,78.0,50.857,934.975,146.856,91.646,37.188,6.73,4.388,1.88,961.0,82.919,4536.0,391.385,,,3519.399,303.668,2419.0,58619.0,5.058,0.209,3877.0,0.335,0.327,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,43.61
BEL,Europe,Belgium,2020-03-30,11899.0,1063.0,1165.143,513.0,82.0,60.714,1026.695,91.72,100.533,44.264,7.075,5.239,1.78,1021.0,88.096,4897.0,422.533,,,,,4101.0,62720.0,5.412,0.354,3989.0,0.344,0.325,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-03-31,12775.0,876.0,1215.143,705.0,192.0,83.286,1102.28,75.585,104.848,60.83,16.567,7.186,1.68,1088.0,93.877,4988.0,430.385,,,,,6432.0,69152.0,5.967,0.555,4340.0,0.374,0.318,3.1,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-01,13964.0,1189.0,1289.571,828.0,123.0,92.857,1204.872,102.592,111.27,71.443,10.613,8.012,1.58,1144.0,98.709,5219.0,450.317,,,,,5891.0,75043.0,6.475,0.508,4569.0,0.394,0.311,3.2,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-02,15348.0,1384.0,1301.857,1011.0,183.0,113.0,1324.289,119.417,112.33,87.233,15.79,9.75,1.49,1205.0,103.972,5398.0,465.762,,,,,6088.0,81131.0,7.0,0.525,4816.0,0.416,0.302,3.3,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-03,16770.0,1422.0,1355.143,1143.0,132.0,122.0,1446.985,122.696,116.927,98.623,11.39,10.527,1.42,1256.0,108.373,5562.0,479.912,,,,,6718.0,87849.0,7.58,0.58,5071.0,0.438,0.297,3.4,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-04,18431.0,1661.0,1328.143,1283.0,140.0,132.857,1590.303,143.318,114.598,110.703,12.08,11.463,1.37,1261.0,108.804,5531.0,477.238,,,,,5368.0,93217.0,8.043,0.463,5288.0,0.456,0.29,3.4,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-05,19691.0,1260.0,1265.0,1447.0,164.0,145.143,1699.021,108.718,109.149,124.853,14.151,12.524,1.33,1267.0,109.322,5620.0,484.917,,,3591.819,309.917,3828.0,97045.0,8.373,0.33,5489.0,0.474,0.282,3.5,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,89.71
BEL,Europe,Belgium,2020-04-06,20814.0,1123.0,1273.571,1632.0,185.0,159.857,1795.918,96.897,109.889,140.816,15.963,13.793,1.31,1260.0,108.718,5759.0,496.91,,,,,5840.0,102885.0,8.877,0.504,5738.0,0.495,0.273,3.7,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-07,22194.0,1380.0,1345.571,2035.0,403.0,190.0,1914.99,119.072,116.101,175.588,34.773,16.394,1.27,1276.0,110.099,5710.0,492.682,,,,,7509.0,110394.0,9.525,0.648,5892.0,0.508,0.267,3.7,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-08,23403.0,1209.0,1348.429,2240.0,205.0,201.714,2019.308,104.318,116.348,193.276,17.688,17.405,1.23,1286.0,110.961,5620.0,484.917,,,,,7972.0,118366.0,10.213,0.688,6189.0,0.534,0.256,3.9,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-09,24983.0,1580.0,1376.429,2523.0,283.0,216.0,2155.637,136.329,118.764,217.695,24.418,18.637,1.19,1279.0,110.357,5640.0,486.643,,,,,8224.0,126590.0,10.923,0.71,6494.0,0.56,0.248,4.0,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-10,26667.0,1684.0,1413.857,3019.0,496.0,268.0,2300.939,145.302,121.993,260.492,42.797,23.124,1.15,1262.0,108.891,5663.0,488.627,,,,,8537.0,135127.0,11.659,0.737,6754.0,0.583,0.237,4.2,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-11,28018.0,1351.0,1369.571,3346.0,327.0,294.714,2417.509,116.57,118.172,288.707,28.215,25.429,1.12,1251.0,107.941,5538.0,477.842,,,,,8148.0,143275.0,12.362,0.703,7151.0,0.617,0.225,4.4,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-12,29647.0,1629.0,1422.286,3600.0,254.0,307.571,2558.066,140.557,122.721,310.623,21.916,26.539,1.1,1253.0,108.114,5542.0,478.187,,,2846.499,245.608,7287.0,150562.0,12.991,0.629,7645.0,0.66,0.219,4.6,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,104.85
BEL,Europe,Belgium,2020-04-13,30589.0,942.0,1396.429,3903.0,303.0,324.429,2639.345,81.28,120.49,336.767,26.144,27.993,1.08,1226.0,105.784,5554.0,479.222,,,,,6698.0,157260.0,13.569,0.578,7768.0,0.67,0.21,4.8,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-14,31119.0,530.0,1275.0,4157.0,254.0,303.143,2685.076,45.731,110.012,358.683,21.916,26.156,1.07,1204.0,103.886,5532.0,477.324,,,,,8163.0,165423.0,14.273,0.704,7861.0,0.678,0.199,5.0,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-15,33573.0,2454.0,1452.857,4440.0,283.0,314.286,2896.817,211.741,125.359,383.102,24.418,27.118,1.06,1182.0,101.988,5331.0,459.981,,,,,10984.0,176407.0,15.221,0.948,8292.0,0.715,0.192,5.2,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
BEL,Europe,Belgium,2020-04-16,34809.0,1236.0,1403.714,4857.0,417.0,333.429,3003.464,106.647,121.118,419.082,35.98,28.77,1.02,1150.0,99.227,5181.0,447.038,,,,,10742.0,187149.0,16.148,0.927,8651.0,0.746,0.178,5.6,tests performed,,,,,,,,,,81.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
